name;time_p;time_s;cpi_ratio;
/home/madjid/Bureau/CHPS/Archi_Paralelle/TP2-1/todo/maqao_2021-12-03_15-43-00/binaries/nbody_op;86.44;4.33;;
/usr/lib/x86_64-linux-gnu/dri/iris_dri.so;4.39;0.22;;
/usr/lib/x86_64-linux-gnu/libSDL2-2.0.so.0.10.0;2.29;0.12;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;1.69;0.08;;
/usr/lib/x86_64-linux-gnu/libX11.so.6.3.0;1.3;0.06;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;1;0.05;;
/usr/lib/x86_64-linux-gnu/libGLX_mesa.so.0.0.0;1;0.05;;
/usr/lib/x86_64-linux-gnu/libglapi.so.0.0.0;0.4;0.02;;
/usr/lib/x86_64-linux-gnu/libdbus-1.so.3.19.11;0.3;0.01;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.3;0.01;;
/usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0;0.3;0.01;;
/usr/lib/x86_64-linux-gnu/libGLX.so.0.0.0;0.2;0.01;;
/usr/lib/x86_64-linux-gnu/libGLdispatch.so.0.0.0;0.1;0;;
/usr/lib/x86_64-linux-gnu/libexpat.so.1.6.11;0.1;0;;
[vdso];0.1;0;;
kernel;0.1;0;;
