block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
221;nbody_op;nbody_op.c:91-96;79.66;3.99;;;;;;
200;nbody_op;nbody_op.c:71-71;1.3;0.06;;;;;;
188;nbody_op;nbody_op.c:71-71;1;0.05;;;;;;
154;nbody_op;nbody_op.c:71-71;0.9;0.04;;;;;;
203;nbody_op;nbody_op.c:71-71;0.8;0.04;;;;;;
194;nbody_op;nbody_op.c:71-71;0.7;0.03;;;;;;
191;nbody_op;nbody_op.c:71-71;0.5;0.02;;;;;;
209;nbody_op;nbody_op.c:70-70;0.4;0.02;;;;;;
222;nbody_op;nbody_op.c:91-96;0.4;0.02;;;;;;
206;nbody_op;nbody_op.c:71-71;0.3;0.01;;;;;;
197;nbody_op;nbody_op.c:71-71;0.2;0.01;;;;;;
153;nbody_op;nbody_op.c:70-70;0.1;0;;;;;;
164;nbody_op;nbody_op.c:71-71;0.1;0;;;;;;
166;nbody_op;nbody_op.c:71-71;0.1;0;;;;;;
