Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.67;66.94;0;744;0;29.7;0;0.54;0.27;2.8;0;1.88;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;_ALL;_ALL;0.67;66.94;0;744;0;29.7;0;0.54;0.27;2.8;0;1.88;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;_ALL;0.67;66.94;0;744;0;29.7;0;0.54;0.27;2.8;0;1.88;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4394;0;0;0;26;0;92.31;0;0;0;0.13;0;7.69;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4391;0;0;0;24;0;100;0;0;0;0.12;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4393;0;0;0;25;0;100;0;0;0;0.13;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4392;0;0;0;22;0;86.36;0;0;0;0.11;0;13.64;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4389;0;0;0;24;0;100;0;0;0;0.12;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4390;0;0;0;18;0;100;0;0;0;0.09;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4380;0.89;88.77;0;561;0;8.56;0;0.71;0.36;2.8;0;0.71;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4395;0;0;0;15;0;93.33;0;0;0;0.07;0;6.67;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;4380;4396;0;0;0;29;0;86.21;0;0;0;0.15;0;13.79;
